day	hour	value
7	3	0
6	9	4
7	12	0
1	17	11
2	22	21
1	6	10
3	7	1
2	5	1
1	11	1
5	8	0
3	24	4
6	7	0
5	5	0
4	19	15
7	6	0
6	10	2
5	18	10
7	19	3
1	1	1
4	10	0
3	2	1
2	6	0
5	11	0
4	5	2
3	23	15
5	24	6
4	16	16
7	5	0
6	23	3
5	21	8
7	22	1
2	17	19
3	12	0
1	12	6
4	15	12
3	1	1
2	11	0
5	14	0
3	18	27
6	13	1
4	21	15
7	8	0
6	16	5
1	21	5
7	21	1
2	18	12
3	11	1
2	1	2
1	15	11
4	12	1
2	12	0
5	1	0
3	17	22
7	2	9
6	14	1
7	15	0
1	16	8
7	24	1
2	23	11
1	5	5
3	6	2
2	2	7
1	10	2
4	1	1
6	4	5
5	4	0
7	1	0
6	11	5
5	17	11
7	18	3
1	19	4
2	24	2
4	11	1
3	5	3
2	7	0
5	10	2
4	6	2
3	22	2
6	1	1
5	7	0
4	17	16
7	4	1
6	20	6
5	20	2
7	17	7
3	15	12
1	3	0
4	8	2
2	8	3
5	13	1
3	21	7
6	2	0
4	22	12
7	11	1
6	17	7
5	23	5
1	20	7
7	20	2
2	19	5
3	10	1
1	14	1
4	13	2
2	13	0
4	24	3
3	16	12
6	15	3
7	14	0
6	18	3
1	23	7
2	20	10
1	4	1
3	9	6
2	3	1
1	9	0
4	2	4
2	14	2
6	5	0
5	3	11
6	8	0
5	16	4
7	13	0
1	18	9
1	7	5
3	4	17
2	4	0
5	9	1
4	7	0
6	6	1
5	6	0
4	18	21
7	7	1
6	21	7
5	19	3
7	16	6
6	24	11
3	14	6
1	2	0
4	9	1
3	3	1
2	9	2
5	12	0
4	4	8
3	20	12
6	3	4
4	23	15
7	10	0
6	22	5
5	22	15
7	23	4
2	16	14
1	24	2
3	13	4
1	13	1
4	14	17
2	10	3
5	15	8
3	19	8
6	12	0
4	20	9
7	9	0
6	19	3
1	22	9
2	21	14
3	8	2
1	8	2
4	3	13
2	15	13
5	2	1
